year,month,avgTemp
1929,8,60.11
1929,9,60.41
1929,10,50.21
1929,11,46.03
1929,12,44.25
1930,1,43.13
1930,2,39.11
1930,3,42.23
1930,4,46.08
1930,5,50.13
1930,6,57.08
1930,7,57.8
1930,8,58.31
1930,9,55.87
1930,10,50.96
1930,11,45.13
1930,12,43.31
1931,1,38.4
1931,2,37.74
1931,3,38.58
1931,4,45.38
1931,5,54.85
1931,6,57.67
1931,7,60.65
1931,8,59.26
1931,9,53.92
1931,10,49.55
1931,11,45.39
1931,12,41.04
1932,1,40.41
1932,2,36.12
1932,3,38.81
1932,4,45.38
1932,5,52.9
1932,6,57.81
1932,7,63.01
1932,8,63.83
1932,9,57.64
1932,10,48.65
1932,11,43.98
1932,12,35.88
1933,1,16.41
1933,2,18.29
1933,3,27.29
1933,4,44.52
1933,5,53.31
1933,6,62.33
1933,7,68.73
1933,8,64.96
1933,9,55.38
1933,10,43.82
1933,11,30.8
1933,12,17.51
1934,1,17.36
1934,2,22.88
1934,3,25.36
1934,4,37.88
1934,5,53.94
1934,6,62.02
1934,7,64.89
1934,8,64.03
1934,9,52.34
1934,10,43.58
1934,11,29.87
1934,12,22.37
1935,1,34.9
1935,2,38.24
1935,3,40.15
1935,4,47.75
1935,5,52.1
1935,6,62.44
1935,7,66.59
1935,8,64.71
1935,9,55.47
1935,10,44.2
1935,11,27.03
1935,12,20.58
1936,1,21.68
1936,2,23.5
1936,3,28.44
1936,4,40.16
1936,5,51.94
1936,6,62.04
1936,7,65.52
1936,8,62.82
1936,9,55.49
1936,10,44.17
1936,11,35.15
1936,12,26.11
1937,1,17.59
1937,2,21.81
1937,3,27.2
1937,4,40.27
1937,5,52.88
1937,6,61.34
1937,7,65.85
1937,8,64.35
1937,9,57.13
1937,10,45.75
1937,11,31.84
1937,12,21.76
1938,1,36.87
1938,2,37.29
1938,3,47.2
1938,4,45.79
1938,5,54.65
1938,6,63.27
1938,7,65.53
1938,8,66.89
1938,9,60.83
1938,10,51.41
1938,11,45.74
1938,12,33.48
1939,1,37.83
1939,2,37.1
1939,3,38.73
1939,4,50.39
1939,5,54.25
1939,6,63.93
1939,7,66.13
1939,8,67.04
1939,9,59.86
1939,10,47.69
1939,11,43.24
1939,12,32.92
1940,1,20.36
1940,2,27.94
1940,3,39.7
1940,4,49.16
1940,5,57.35
1940,6,64.95
1940,7,65.28
1940,8,62.82
1940,9,58.6
1940,10,50.01
1940,11,43.65
1940,12,31.47
1941,1,26.88
1941,2,33.73
1941,3,40.11
1941,4,46.52
1941,5,53.8
1941,6,63.6
1941,7,68.58
1941,8,64.58
1941,9,59.41
1941,10,52.0
1941,11,41.41
1941,12,39.05
1942,1,29.1
1942,2,32.11
1942,3,41.93
1942,4,51.71
1942,5,59.93
1942,6,65.75
1942,7,70.23
1942,8,70.53
1942,9,65.76
1942,10,58.23
1942,11,47.32
1942,12,39.87
1943,1,37.7
1943,2,42.93
1943,3,45.55
1943,4,55.56
1943,5,62.31
1943,6,68.55
1943,7,72.19
1943,8,72.02
1943,9,65.6
1943,10,57.36
1943,11,47.6
1943,12,41.03
1944,1,40.97
1944,2,43.77
1944,3,47.79
1944,4,56.01
1944,5,64.74
1944,6,70.32
1944,7,72.89
1944,8,72.31
1944,9,67.48
1944,10,59.75
1944,11,49.68
1944,12,42.09
1945,1,40.36
1945,2,43.67
1945,3,51.81
1945,4,57.2
1945,5,63.6
1945,6,69.94
1945,7,73.18
1945,8,72.74
1945,9,69.12
1945,10,60.5
1945,11,51.46
1945,12,42.6
1946,1,40.75
1946,2,40.91
1946,3,47.46
1946,4,55.56
1946,5,61.74
1946,6,68.74
1946,7,72.29
1946,8,70.61
1946,9,66.46
1946,10,58.29
1946,11,47.37
1946,12,40.32
1947,1,36.71
1947,2,37.3
1947,3,44.36
1947,4,53.42
1947,5,61.17
1947,6,67.4
1947,7,71.46
1947,8,71.02
1947,9,65.45
1947,10,57.01
1947,11,44.4
1947,12,37.23
1948,1,21.57
1948,2,23.33
1948,3,31.95
1948,4,47.33
1948,5,56.57
1948,6,64.99
1948,7,69.82
1948,8,67.81
1948,9,60.47
1948,10,49.01
1948,11,36.42
1948,12,25.34
1949,1,25.56
1949,2,28.2
1949,3,35.32
1949,4,47.65
1949,5,58.1
1949,6,65.86
1949,7,70.83
1949,8,68.76
1949,9,59.8
1949,10,50.1
1949,11,37.7
1949,12,27.0
1950,1,23.46
1950,2,27.92
1950,3,35.76
1950,4,46.46
1950,5,57.36
1950,6,65.57
1950,7,69.37
1950,8,68.03
1950,9,60.96
1950,10,51.33
1950,11,35.55
1950,12,28.01
1951,1,24.52
1951,2,25.91
1951,3,35.3
1951,4,48.52
1951,5,57.75
1951,6,65.3
1951,7,70.61
1951,8,69.03
1951,9,61.84
1951,10,50.5
1951,11,37.46
1951,12,31.55
1952,1,28.35
