"year","avgTemp"
1929,47.81
1930,49.54
1931,50.22
1932,44.89
1933,39.76
1934,40.47
1935,47.85
1936,42.23
1937,42.9
1938,50.84
1939,49.64
1940,47.45
1941,49.66
1942,52.03
1943,55.7
1944,56.83
1945,59.03
1946,53.94
1947,53.24
1948,43.63
1949,47.51
1950,46.25
1951,48.34
1952,48.14
1953,47.18
1954,48.66
1955,45.25
1956,43.18
1957,46.5
1958,45.65
1959,41.32
1960,43.73
1961,51.82
1962,48.72
1963,47.28
1964,51.47
1965,51.83
1966,50.94
1967,50.98
1968,49.66
1969,39.12
1970,40.1
1971,34.52
1972,53.64
1973,50.33
1974,48.96
1975,50.56
1976,48.61
1977,48.97
1978,49.72
1979,50.2
1980,49.75
1981,50.74
1982,49.85
1983,49.95
1984,49.46
1985,49.49
1986,49.64
1987,49.7
1988,50.01
1989,50.7
1990,51.38
1991,50.18
1992,50.98
1993,50.22
1994,51.67
1995,51.91
1996,50.7
1997,52.53
1998,53.29
1999,53.6
2000,52.77
2001,53.11
2002,53.63
2003,53.67
2004,53.24
2005,53.96
2006,53.95
2007,53.46
2008,51.2
2009,50.28
