"year","maxTemp"
1929,52.69
1930,55.17
1931,55.23
1932,52.12
1933,49.98
1934,49.71
1935,57.49
1936,53.66
1937,50.58
1938,55.66
1939,52.66
1940,51.35
1941,52.57
1942,53.99
1943,58.76
1944,73.84
1945,73.13
1946,63.88
1947,57.66
1948,43.37
1949,50.53
1950,48.37
1951,52.4
1952,51.79
1953,52.06
1954,54.06
1955,51.6
1956,48.37
1957,53.87
1958,52.98
1959,48.1
1960,50.52
1961,61.04
1962,56.44
1963,55.49
1964,60.03
1965,60.19
1966,58.33
1967,58.28
1968,53.64
1969,42.89
1970,44.35
1971,37.76
1972,66.34
1973,59.04
1974,56.46
1975,58.31
1976,57.24
1977,57.36
1978,58.87
1979,59.85
1980,59.05
1981,59.71
1982,58.97
1983,59.49
1984,58.82
1985,59.12
1986,58.7
1987,58.68
1988,59.75
1989,60.68
1990,61.44
1991,58.72
1992,59.98
1993,59.37
1994,61.18
1995,61.48
1996,60.36
1997,60.79
1998,62.92
1999,63.38
2000,62.74
2001,63.27
2002,63.97
2003,64.27
2004,63.25
2005,63.67
2006,63.68
2007,63.46
2008,61.57
2009,60.52
