year,month,avgTemp
1939,3,69.95
1939,4,65.17
1939,5,62.25
1939,6,56.31
1939,7,54.06
1939,8,58.86
1939,9,63.74
1939,10,67.55
1939,11,71.62
1939,12,75.34
1940,1,76.67
1940,2,74.99
1940,3,75.76
1940,4,65.71
1940,5,60.57
1940,6,57.9
1940,7,56.56
1940,8,61.13
1940,9,65.85
1940,10,72.23
1940,11,74.2
1940,12,78.7
1941,1,76.17
1941,2,76.77
1941,3,74.07
1941,4,70.83
1941,5,64.26
1941,6,58.92
1941,7,58.46
1941,8,59.36
1941,9,64.0
1941,10,67.89
1941,11,73.86
1941,12,77.11
1942,1,76.78
1942,2,74.87
1942,3,73.83
1942,4,69.3
1942,5,65.08
1942,6,60.77
1942,7,58.16
1942,8,62.72
1942,9,66.38
1942,10,70.35
1942,11,75.04
1942,12,77.64
1943,1,80.41
1943,2,79.34
1943,3,79.05
1943,4,78.06
1943,5,74.03
1943,6,71.13
1943,7,72.02
1943,8,73.61
1943,9,75.31
1943,10,76.94
1943,11,77.63
1943,12,77.92
1944,1,78.4
1944,2,77.23
1944,3,75.64
1944,4,72.35
1944,5,69.2
1944,6,67.25
1944,7,66.95
1944,8,68.29
1944,9,70.98
1944,10,72.65
1944,11,75.25
1944,12,76.55
1945,1,77.31
1945,2,76.83
1945,3,75.23
1945,4,72.87
1945,5,69.05
1945,6,67.75
1945,7,65.39
1945,8,67.79
1945,9,69.1
1945,10,71.16
1945,11,74.95
1945,12,77.81
1946,1,79.01
1946,2,77.3
1946,3,74.96
1946,4,70.67
1946,5,67.16
1946,6,61.65
1946,7,62.19
1946,8,62.51
1946,9,66.67
1946,10,68.7
1946,11,71.93
1946,12,74.41
1947,1,76.81
1947,2,75.29
1947,3,73.8
1947,4,68.61
1947,5,65.2
1947,6,60.7
1947,7,59.0
1947,8,60.14
1947,9,64.16
1947,10,67.44
1947,11,71.32
1947,12,74.56
1948,1,75.63
1948,2,76.64
1948,3,73.93
1948,4,69.66
1948,5,65.11
1948,6,61.51
1948,7,60.41
1948,8,63.22
1948,9,66.28
1948,10,70.06
1948,11,72.6
1948,12,74.97
1949,1,76.35
1949,2,75.59
1949,3,74.63
1949,4,69.88
1949,5,64.74
1949,6,59.37
1949,7,60.6
1949,8,62.54
1949,9,66.26
1949,10,70.39
1949,11,72.88
1949,12,76.27
1950,1,77.42
1950,2,76.69
1950,3,74.98
1950,4,70.79
1950,5,65.87
1950,6,60.99
1950,7,59.99
1950,8,61.94
1950,9,67.32
1950,10,68.77
1950,11,72.22
1950,12,75.35
1951,1,76.6
1951,2,76.54
1951,3,75.55
1951,4,69.81
1951,5,65.83
1951,6,63.02
1951,7,61.01
1951,8,61.81
1951,9,66.54
1951,10,69.41
1951,11,73.19
1951,12,75.58
1952,1,76.62
1952,2,76.23
1952,3,75.18
1952,4,70.27
1952,5,65.85
1952,6,62.75
1952,7,61.1
1952,8,62.75
1952,9,66.49
1952,10,69.52
1952,11,72.27
1952,12,75.21
1953,1,72.55
1953,2,71.99
1953,3,71.92
1953,4,67.76
1953,5,62.13
1953,6,59.05
1953,7,58.04
1953,8,59.41
1953,9,63.22
1953,10,66.84
1953,11,69.96
1953,12,72.87
1954,1,73.74
1954,2,72.82
1954,3,69.63
1954,4,65.56
1954,5,61.13
1954,6,57.06
1954,7,56.32
1954,8,57.39
1954,9,60.39
1954,10,64.2
1954,11,67.6
1954,12,69.82
1955,1,72.17
1955,2,72.55
1955,3,69.87
1955,4,66.23
1955,5,61.43
1955,6,57.76
1955,7,56.46
1955,8,59.59
1955,9,62.2
1955,10,64.89
1955,11,66.7
1955,12,69.88
1956,1,72.19
1956,2,72.06
1956,3,69.31
1956,4,65.89
1956,5,63.69
1956,6,57.29
1956,7,55.79
1956,8,56.51
1956,9,58.46
1956,10,62.32
1956,11,65.58
1956,12,68.24
1957,1,69.6
1957,2,68.47
1957,3,65.25
1957,4,62.71
1957,5,57.74
1957,6,53.56
1957,7,51.83
1957,8,54.9
1957,9,57.81
1957,10,61.75
1957,11,65.57
1957,12,68.49
1958,1,68.63
1958,2,67.85
1958,3,65.45
1958,4,61.91
1958,5,57.67
1958,6,54.26
1958,7,56.75
1958,8,56.81
1958,9,59.92
1958,10,64.3
1958,11,67.67
1958,12,68.94
1959,1,72.47
1959,2,71.8
1959,3,70.07
1959,4,67.12
1959,5,62.23
1959,6,59.14
1959,7,58.37
1959,8,59.27
1959,9,62.85
1959,10,65.25
1959,11,69.29
1959,12,70.3
1960,1,72.82
1960,2,71.19
1960,3,69.32
1960,4,66.14
1960,5,61.59
1960,6,58.77
1960,7,58.32
1960,8,59.43
1960,9,62.76
1960,10,66.78
1960,11,67.74
1960,12,71.13
1961,1,72.73
1961,2,71.24
1961,3,70.18
1961,4,67.12
1961,5,63.03
1961,6,59.94
1961,7,58.54
1961,8,60.06
1961,9,63.65
1961,10,67.04
1961,11,68.37
1961,12,70.65
1962,1,70.9
1962,2,69.55
1962,3,69.11
1962,4,65.24
1962,5,61.37
1962,6,58.98
1962,7,57.52
1962,8,59.13
1962,9,63.97
1962,10,66.89
1962,11,69.84
1962,12,70.68
1963,1,72.22
1963,2,71.56
1963,3,70.19
1963,4,67.31
1963,5,64.1
1963,6,60.75
1963,7,59.64
1963,8,61.54
1963,9,65.53
1963,10,68.85
1963,11,69.94
1963,12,71.56
1964,1,72.83
1964,2,72.08
1964,3,71.05
1964,4,68.32
1964,5,63.94
1964,6,60.04
1964,7,58.93
1964,8,61.04
1964,9,64.81
1964,10,65.9
1964,11,69.17
1964,12,69.61
1965,1,71.62
1965,2,72.32
1965,3,69.65
1965,4,66.35
1965,5,62.94
1965,6,60.82
1965,7,58.01
1965,8,60.81
1965,9,64.31
1965,10,68.01
1965,11,70.3
1965,12,72.12
1966,1,72.05
1966,2,71.19
1966,3,70.02
1966,4,66.21
1966,5,61.1
1966,6,58.61
1966,7,56.81
1966,8,58.23
1966,9,62.19
1966,10,64.66
1966,11,68.08
1966,12,69.15
1967,1,71.28
1967,2,69.36
1967,3,67.67
1967,4,65.21
1967,5,60.69
1967,6,55.28
1967,7,53.65
1967,8,56.41
1967,9,60.53
1967,10,64.72
1967,11,67.14
1967,12,69.83
1968,1,71.44
1968,2,70.26
1968,3,68.12
1968,4,64.1
1968,5,59.44
1968,6,55.22
1968,7,54.89
1968,8,56.81
1968,9,59.72
1968,10,62.31
1968,11,66.47
1968,12,68.07
1969,1,73.28
1969,2,70.94
1969,3,70.32
1969,4,66.64
1969,5,62.21
1969,6,57.95
1969,7,57.71
1969,8,59.56
1969,9,60.64
1969,10,65.05
1969,11,67.63
1969,12,70.22
1970,1,72.92
1970,2,73.16
1970,3,70.6
1970,4,66.68
1970,5,59.95
1970,6,57.72
1970,7,55.37
1970,8,57.1
1970,9,60.54
1970,10,64.64
1970,11,67.39
1970,12,71.49
1971,1,72.83
1971,2,71.72
1971,3,70.89
1971,4,65.03
1971,5,58.34
1971,6,53.35
1971,7,52.33
1971,8,55.16
1971,9,60.14
1971,10,61.74
1971,11,64.47
1971,12,70.13
