year,month,maxTemp
1945,1,94.37
1945,2,92.22
1945,3,90.64
1945,4,95.74
1945,5,89.95
1945,6,84.99
1945,7,82.54
1945,8,89.44
1945,9,89.98
1945,10,94.42
1945,11,94.85
1945,12,92.74
1946,1,91.68
1946,2,90.72
1946,3,95.99
1946,4,93.49
1946,5,89.94
1946,6,83.34
1946,7,85.94
1946,8,89.35
1946,9,90.6
1946,10,95.26
1946,11,90.16
1946,12,92.41
1947,1,98.02
1947,2,89.0
1947,3,87.72
1947,4,88.28
1947,5,84.34
1947,6,82.02
1947,7,81.68
1947,8,82.11
1947,9,84.26
1947,10,86.17
1947,11,88.22
1947,12,91.51
1948,1,85.43
1948,2,86.92
1948,3,83.38
1948,4,77.4
1948,5,71.97
1948,6,67.5
1948,7,66.2
1948,8,70.35
1948,9,74.11
1948,10,77.56
1948,11,80.28
1948,12,84.24
1949,1,85.5
1949,2,84.13
1949,3,82.73
1949,4,77.75
1949,5,71.37
1949,6,66.37
1949,7,68.51
1949,8,71.13
1949,9,73.71
1949,10,77.92
1949,11,80.74
1949,12,84.92
1950,1,86.67
1950,2,85.11
1950,3,83.69
1950,4,79.44
1950,5,73.64
1950,6,68.26
1950,7,68.6
1950,8,70.89
1950,9,76.03
1950,10,78.07
1950,11,81.57
1950,12,84.98
1951,1,85.89
1951,2,86.51
1951,3,85.98
1951,4,78.78
1951,5,73.9
1951,6,70.05
1951,7,68.51
1951,8,69.58
1951,9,75.57
1951,10,79.46
1951,11,84.14
1951,12,86.02
1952,1,88.1
1952,2,85.71
1952,3,84.89
1952,4,79.01
1952,5,73.0
1952,6,69.98
1952,7,67.98
1952,8,70.59
1952,9,74.84
1952,10,77.77
1952,11,81.24
1952,12,84.34
1953,1,77.46
1953,2,77.24
1953,3,76.83
1953,4,72.64
1953,5,67.06
1953,6,63.27
1953,7,63.37
1953,8,64.26
1953,9,67.8
1953,10,71.64
1953,11,75.39
1953,12,79.38
1954,1,78.65
1954,2,77.85
1954,3,77.09
1954,4,72.66
1954,5,67.14
1954,6,62.41
1954,7,63.63
1954,8,64.12
1954,9,68.58
1954,10,73.17
1954,11,76.12
1954,12,78.88
1955,1,81.38
1955,2,80.71
1955,3,77.72
1955,4,73.46
1955,5,67.95
1955,6,64.18
1955,7,63.09
1955,8,66.61
1955,9,69.61
1955,10,72.84
1955,11,74.67
1955,12,78.04
1956,1,79.29
1956,2,79.99
1956,3,77.97
1956,4,73.69
1956,5,73.27
1956,6,63.65
1956,7,61.82
1956,8,63.33
1956,9,65.4
1956,10,70.52
1956,11,74.47
1956,12,76.71
1957,1,79.01
1957,2,78.66
1957,3,75.0
1957,4,71.63
1957,5,66.6
1957,6,62.43
1957,7,61.26
1957,8,64.34
1957,9,68.45
1957,10,72.36
1957,11,76.5
1957,12,79.09
1958,1,78.55
1958,2,76.47
1958,3,75.04
1958,4,71.9
1958,5,66.59
1958,6,64.33
1958,7,71.21
1958,8,69.89
