"year","maxTemp"
1945,90.98
1946,90.92
1947,90.68
1948,76.88
1949,77.6
1950,78.16
1951,78.95
1952,78.59
1953,71.53
1954,72.46
1955,72.23
1956,69.46
1957,71.92
1958,71.59
1959,82.08
1960,80.13
1961,80.58
1962,79.12
1963,75.31
1964,74.62
1965,73.98
1966,73.48
1967,72.28
1968,73.77
1969,77.9
1973,75.53
1974,75.88
1975,75.7
1976,77.93
1977,79.5
1978,79.21
1979,79.19
1980,79.22
1981,79.48
1982,78.97
1983,78.4
1984,77.92
1985,77.81
1986,78.0
1987,78.14
1988,77.86
1989,78.48
1990,77.92
1991,77.13
1992,77.53
1993,78.24
1994,78.46
1995,77.8
1996,77.69
1997,77.28
1998,77.46
1999,77.3
2000,76.61
2001,77.39
2002,77.9
2003,77.62
2004,77.4
2005,77.68
2006,77.42
2007,77.23
2008,76.83
2009,77.93
